show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
15,TV Show,The Quiet Town,Marcus Bennett,"Idris Elba, Lupita Nyong'o, John Boyega",Australia,2018-05-17,2019,NR,5 Seasons,"Comedies, Romantic Movies",A documentary exploring the hidden lives behind a famous landmark.
16,Movie,Iron & Ash,Rahul Mehta,"Idris Elba, Lupita Nyong'o, John Boyega",United States,2021-01-06,1998,NR,90 min,Stand-Up Comedy,An ambitious detective hunts a culprit who is always one step ahead.
17,Movie,Silent Horizon,Marcus Bennett,"Aisha Khan, Ravi Kapoor, Nandita Das",Spain,2020-04-15,1969,R,90 min,Stand-Up Comedy,An ambitious detective hunts a culprit who is always one step ahead.
18,TV Show,Echoes of Tomorrow,Ava Hernandez,"Carlos Mendez, Ana Garcia, Diego Luna",India,2019-12-14,1977,TV-14,2 Seasons,"Comedies, Romantic Movies",Two strangers cross paths and discover a secret that changes everything.
19,TV Show,Sunset Boulevard Stories,Ava Hernandez,"Carlos Mendez, Ana Garcia, Diego Luna",United Kingdom,2023-06-09,2007,NR,88 min,"Horror Movies, Thrillers",A young dreamer fights to change a world that refuses to listen.
20,TV Show,Beneath the Surface,Ava Hernandez,"Emma Stone, Ryan Reynolds, Zoe Saldana",Australia,2018-11-25,1961,G,90 min,"Kids' TV, Children & Family Movies","A heartfelt story about family, sacrifice, and the meaning of home."
21,Movie,Wild Hearts,Grace Thompson,"Dev Patel, Freida Pinto, Irrfan Khan",United Kingdom,2023-02-01,1996,TV-MA,2 Seasons,"Comedies, Romantic Movies","A heartfelt story about family, sacrifice, and the meaning of home."
22,TV Show,Wild Hearts,Elena Volkov,"Dev Patel, Freida Pinto, Irrfan Khan",Brazil,2021-06-26,2015,TV-14,90 min,"Action & Adventure, Sci-Fi & Fantasy",A young dreamer fights to change a world that refuses to listen.
23,,,,,,,2006,,,,
24,TV Show,Silent Horizon,Rahul Mehta,,France,2022-09-22,2020,PG,5 Seasons,"Dramas, International Movies","A heartfelt story about family, sacrifice, and the meaning of home."
25,TV Show,Midnight in Mumbai,Mateo Alvarez,"Tom Hardy, Florence Pugh, Cillian Murphy",Mexico,2024-04-27,2000,TV-MA,75 min,Stand-Up Comedy,"A heartfelt story about family, sacrifice, and the meaning of home."
26,TV Show,Midnight in Mumbai,Olivia Park,"Scarlett Chen, Hiroshi Abe, Mei Lin",South Korea,2020-12-31,2000,TV-PG,3 Seasons,"International TV Shows, Romantic TV Shows",A gripping tale of survival against impossible odds in a remote wilderness.
27,Movie,Whispering Pines,Sofia Rossi,"Emma Stone, Ryan Reynolds, Zoe Saldana",Nigeria,2024-02-10,1959,TV-PG,135 min,"Kids' TV, Children & Family Movies",An ambitious detective hunts a culprit who is always one step ahead.
28,Movie,Glass Kingdom,Olivia Park,"Aisha Khan, Ravi Kapoor, Nandita Das",Mexico,2018-02-18,1966,TV-MA,1 Season,"Comedies, Romantic Movies",A documentary exploring the hidden lives behind a famous landmark.
29,TV Show,Northern Lights,Marcus Bennett,"Scarlett Chen, Hiroshi Abe, Mei Lin",Brazil,2022-03-20,1984,TV-PG,102 min,"Dramas, International Movies",Two strangers cross paths and discover a secret that changes everything.
30,Movie,The Velvet Heist,Elena Volkov,"Tom Hardy, Florence Pugh, Cillian Murphy",Japan,2019-06-17,1973,TV-MA,3 Seasons,"Kids' TV, Children & Family Movies",Two strangers cross paths and discover a secret that changes everything.
31,Movie,The Quiet Town,,"Emma Stone, Ryan Reynolds, Zoe Saldana",Canada,2024-10-12,2001,PG-13,102 min,"Dramas, International Movies",An ambitious detective hunts a culprit who is always one step ahead.
32,TV Show,Silent Horizon,Grace Thompson,,Japan,2022-07-11,1972,R,90 min,"Dramas, International Movies",A documentary exploring the hidden lives behind a famous landmark.
33,Movie,Paper Houses,Sofia Rossi,"Dev Patel, Freida Pinto, Irrfan Khan",Brazil,2019-03-09,2014,TV-14,102 min,"Dramas, International Movies",A young dreamer fights to change a world that refuses to listen.
34,TV Show,Beneath the Surface,Priya Nair,"Emma Stone, Ryan Reynolds, Zoe Saldana",Japan,2024-12-03,1988,TV-PG,4 Seasons,"Kids' TV, Children & Family Movies","In a city that never sleeps, one choice sets off a chain of events."
35,Movie,Northern Lights,Elena Volkov,"Idris Elba, Lupita Nyong'o, John Boyega",Nigeria,2020-12-29,2016,NR,2 Seasons,"Kids' TV, Children & Family Movies","A heartfelt story about family, sacrifice, and the meaning of home."
36,Movie,Sunset Boulevard Stories,Grace Thompson,"Scarlett Chen, Hiroshi Abe, Mei Lin",Mexico,2020-11-27,1985,TV-PG,75 min,"Dramas, International Movies","In a city that never sleeps, one choice sets off a chain of events."
37,TV Show,Glass Kingdom,David Okafor,"Emma Stone, Ryan Reynolds, Zoe Saldana",South Korea,2019-03-27,1972,NR,3 Seasons,"TV Dramas, Crime TV Shows","In a city that never sleeps, one choice sets off a chain of events."
38,TV Show,The Last Archive,Olivia Park,"Carlos Mendez, Ana Garcia, Diego Luna",United Kingdom,2023-01-13,2010,TV-14,102 min,"Comedies, Romantic Movies","In a city that never sleeps, one choice sets off a chain of events."
39,,,,,,,1962,,,,
40,Movie,Glass Kingdom,Elena Volkov,"Aisha Khan, Ravi Kapoor, Nandita Das",Mexico,2020-07-15,2001,TV-14,118 min,"TV Dramas, Crime TV Shows",A documentary exploring the hidden lives behind a famous landmark.
41,Movie,Lost in Lagos,Priya Nair,"Emma Stone, Ryan Reynolds, Zoe Saldana",Germany,2024-07-14,1982,TV-14,118 min,"TV Dramas, Crime TV Shows","In a city that never sleeps, one choice sets off a chain of events."
42,Movie,Northern Lights,David Okafor,"Dev Patel, Freida Pinto, Irrfan Khan",United Kingdom,2019-09-05,2020,PG,5 Seasons,"International TV Shows, Romantic TV Shows",A documentary exploring the hidden lives behind a famous landmark.
43,Movie,Echoes of Tomorrow,Rahul Mehta,"Tom Hardy, Florence Pugh, Cillian Murphy",Brazil,2024-08-23,1992,TV-14,75 min,"Horror Movies, Thrillers",A young dreamer fights to change a world that refuses to listen.
44,Movie,Breaking Static,Sofia Rossi,"Emma Stone, Ryan Reynolds, Zoe Saldana",Germany,2019-02-03,2020,NR,1 Season,"Action & Adventure, Sci-Fi & Fantasy","A heartfelt story about family, sacrifice, and the meaning of home."
45,TV Show,Northern Lights,Kenji Tanaka,"Scarlett Chen, Hiroshi Abe, Mei Lin",Brazil,2021-08-10,1996,PG-13,1 Season,"Comedies, Romantic Movies","Friends reunite after a decade, only to confront old wounds and new hopes."
46,Movie,Wild Hearts,Mateo Alvarez,,United Kingdom,2020-02-04,1984,TV-14,118 min,"TV Dramas, Crime TV Shows",A young dreamer fights to change a world that refuses to listen.
47,Movie,Northern Lights,Sofia Rossi,"Aisha Khan, Ravi Kapoor, Nandita Das",India,2021-10-13,2010,R,118 min,"TV Dramas, Crime TV Shows",A young dreamer fights to change a world that refuses to listen.
48,TV Show,Whispering Pines,Olivia Park,,South Korea,2018-08-27,2013,R,118 min,"Comedies, Romantic Movies","Friends reunite after a decade, only to confront old wounds and new hopes."
49,TV Show,A Distant Shore,Ava Hernandez,"Tom Hardy, Florence Pugh, Cillian Murphy",Japan,2022-10-30,1983,R,135 min,"Horror Movies, Thrillers",Two strangers cross paths and discover a secret that changes everything.
50,TV Show,Beneath the Surface,Grace Thompson,,Mexico,2019-10-04,1997,TV-G,75 min,"TV Dramas, Crime TV Shows","A heartfelt story about family, sacrifice, and the meaning of home."
51,Movie,The Final Reckoning,Marcus Bennett,"Carlos Mendez, Ana Garcia, Diego Luna",Nigeria,2018-07-26,1976,TV-PG,90 min,"Action & Adventure, Sci-Fi & Fantasy",A gripping tale of survival against impossible odds in a remote wilderness.
52,TV Show,Lost in Lagos,Priya Nair,"Tom Hardy, Florence Pugh, Cillian Murphy",South Korea,2023-03-15,1978,TV-PG,3 Seasons,Stand-Up Comedy,An ambitious detective hunts a culprit who is always one step ahead.
53,TV Show,Silent Horizon,Rahul Mehta,"Aisha Khan, Ravi Kapoor, Nandita Das",Canada,2023-10-07,2010,G,102 min,Documentaries,An ambitious detective hunts a culprit who is always one step ahead.
54,Movie,Sunset Boulevard Stories,Olivia Park,"Idris Elba, Lupita Nyong'o, John Boyega",Brazil,2021-10-18,1963,PG,90 min,"TV Dramas, Crime TV Shows","A heartfelt story about family, sacrifice, and the meaning of home."
55,TV Show,Paper Houses,Priya Nair,"Emma Stone, Ryan Reynolds, Zoe Saldana",South Korea,2022-10-01,2012,TV-14,102 min,"Kids' TV, Children & Family Movies",Two strangers cross paths and discover a secret that changes everything.
56,Movie,Breaking Static,Elena Volkov,"Carlos Mendez, Ana Garcia, Diego Luna",Canada,2022-06-08,2006,PG-13,3 Seasons,"Comedies, Romantic Movies",A gripping tale of survival against impossible odds in a remote wilderness.
57,TV Show,Beneath the Surface,Elena Volkov,,Canada,2024-07-24,1998,PG,1 Season,Stand-Up Comedy,A documentary exploring the hidden lives behind a famous landmark.
58,TV Show,Midnight in Mumbai,Marcus Bennett,,France,2024-03-20,1980,PG-13,2 Seasons,"International TV Shows, Romantic TV Shows",A gripping tale of survival against impossible odds in a remote wilderness.
59,TV Show,Glass Kingdom,Marcus Bennett,"Idris Elba, Lupita Nyong'o, John Boyega",South Korea,2022-05-29,2010,NR,75 min,"Dramas, International Movies",An ambitious detective hunts a culprit who is always one step ahead.
60,TV Show,Paper Houses,Liam O'Connor,"Carlos Mendez, Ana Garcia, Diego Luna",Spain,2019-02-20,1980,PG,118 min,"Horror Movies, Thrillers",A gripping tale of survival against impossible odds in a remote wilderness.
